Description,TotalSalesDollars,ProfitMargin
Bonnie Rose Orange Peel,8035.649999999958,0.5900269424377597
Bonnie Rose Spiced Apple,7419.0699999999615,0.6091396900150539
Bonny Doon Clos de Gilroy Rd,860.4300000000001,0.5230291830828773
Bonpas Blanc Rhone Vly,2547.9599999999955,0.340813827532613
Bonpas Ch du Pape Rouge Rsv,5976.589999999988,0.5886985722627779
Bonterra Pnt Nr,1075.3100000000002,0.46501009011354877
Boones Sangria,391.69000000000017,0.3057775281472597
Boones Strawberry Hill,1988.3500000000033,0.32580280131767697
Booth's Cask Mellowed Gin,3783.1399999999917,0.7639104024699054
Borealis Northern Whites,1706.78,0.2693610189948322
Bota Box Rsl,2094.8800000000006,0.2860307034293134
Bota Brick Cab Svgn,427.5900000000002,0.34189293482073985
Bota Brick Chard,269.74000000000007,0.20990583524875825
Bota Brick Pnt Grigio,387.63000000000017,0.17529602971906233
Bota Mini Cab Svgn,6802.949999999887,0.36274116375982707
Bota Mini Merlot,258.65999999999997,0.12317327766179537
Bota Mini Moscato,593.9599999999999,0.17312613644016422
Bota Mini RedVolution,614.63,0.2514520931291997
